Joint,Per Task Avg,Task A,Task B,Params A,Params B,Stop Node,Merge Fn,Time
0.5203,0.6781,0.6618,0.6944,1.0,1.0,21,match_tensors_zipit,1.3222229480743408
0.5067,0.661,0.6506,0.6714,1.0,0.25,21,match_tensors_zipit,3.1976962089538574
0.5084,0.6643,0.6562,0.6724,1.0,0.125,21,match_tensors_zipit,1.338517665863037
0.506,0.6646000000000001,0.657,0.6722,1.0,0.075,21,match_tensors_zipit,1.3251357078552246
0.5106,0.667,0.6582,0.6758,1.0,0.0375,21,match_tensors_zipit,1.913233995437622
0.5096,0.6631,0.648,0.6782,1.0,0.0,21,match_tensors_zipit,3.0959665775299072
0.5219,0.6783,0.67,0.6866,0.5,1.0,21,match_tensors_zipit,1.4668657779693604
0.5159,0.6752,0.6678,0.6826,0.5,0.25,21,match_tensors_zipit,1.0986459255218506
0.5086,0.6629,0.6546,0.6712,0.5,0.125,21,match_tensors_zipit,1.0252888202667236
0.504,0.662,0.6558,0.6682,0.5,0.075,21,match_tensors_zipit,1.205118179321289
0.5107,0.6625,0.6534,0.6716,0.5,0.0375,21,match_tensors_zipit,1.2265989780426025
0.5056,0.6571,0.6434,0.6708,0.5,0.0,21,match_tensors_zipit,1.2216782569885254
0.5192,0.6799999999999999,0.6686,0.6914,0.3,1.0,21,match_tensors_zipit,1.1643977165222168
0.5126,0.6731,0.665,0.6812,0.3,0.25,21,match_tensors_zipit,1.1760344505310059
0.5078,0.6676,0.6568,0.6784,0.3,0.125,21,match_tensors_zipit,0.9895992279052734
0.5071,0.6656,0.658,0.6732,0.3,0.075,21,match_tensors_zipit,1.8032245635986328
0.5079,0.6618999999999999,0.6526,0.6712,0.3,0.0375,21,match_tensors_zipit,1.1263091564178467
0.5041,0.6587000000000001,0.6444,0.673,0.3,0.0,21,match_tensors_zipit,4.181273460388184
0.5209,0.679,0.6686,0.6894,0.1,1.0,21,match_tensors_zipit,1.5223581790924072
0.5147,0.6753,0.6686,0.682,0.1,0.25,21,match_tensors_zipit,1.0392439365386963
0.5086,0.6672,0.659,0.6754,0.1,0.125,21,match_tensors_zipit,1.1523003578186035
0.5101,0.6684000000000001,0.6598,0.677,0.1,0.075,21,match_tensors_zipit,0.8833150863647461
0.5073,0.6601,0.649,0.6712,0.1,0.0375,21,match_tensors_zipit,1.05173921585083
0.5035,0.6587000000000001,0.6438,0.6736,0.1,0.0,21,match_tensors_zipit,0.8588171005249023
0.5199,0.6767,0.6656,0.6878,0.01,1.0,21,match_tensors_zipit,1.0147264003753662
0.5156,0.6734,0.6652,0.6816,0.01,0.25,21,match_tensors_zipit,0.9671680927276611
0.5092,0.6661,0.6578,0.6744,0.01,0.125,21,match_tensors_zipit,0.9314785003662109
0.5053,0.6654,0.6558,0.675,0.01,0.075,21,match_tensors_zipit,1.2082712650299072
0.5095,0.6613,0.6522,0.6704,0.01,0.0375,21,match_tensors_zipit,0.9027984142303467
0.5049,0.6585,0.6456,0.6714,0.01,0.0,21,match_tensors_zipit,1.1854102611541748
0.5204,0.6778,0.6654,0.6902,0.0001,1.0,21,match_tensors_zipit,0.9577641487121582
0.5154,0.673,0.665,0.681,0.0001,0.25,21,match_tensors_zipit,0.8898501396179199
0.5126,0.6700999999999999,0.6596,0.6806,0.0001,0.125,21,match_tensors_zipit,0.8986244201660156
0.5098,0.6682,0.6602,0.6762,0.0001,0.075,21,match_tensors_zipit,1.109217643737793
0.5069,0.6617,0.65,0.6734,0.0001,0.0375,21,match_tensors_zipit,1.0483512878417969
0.5059,0.6587000000000001,0.645,0.6724,0.0001,0.0,21,match_tensors_zipit,1.2565650939941406
